Scarab gitrev: 3541854
Scarab started at Fri Nov  1 18:44:59 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (90.91 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 100.00 KIPS (95.24 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 100.00 KIPS (96.77 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 90.91 KIPS (95.24 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 100.00 KIPS (96.15 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 90.91 KIPS (95.24 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 90.91 KIPS (94.59 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 100.00 KIPS (95.24 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 100.00 KIPS (95.74 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 90.91 KIPS (95.24 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 100.00 KIPS (95.65 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 100.00 KIPS (96.00 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 90.91 KIPS (95.59 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 100.00 KIPS (95.89 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 100.00 KIPS (96.15 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 100.00 KIPS (96.39 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 100.00 KIPS (96.59 KIPS)
** Heartbeat:  90% -- { 18000005 } -- 100.00 KIPS (96.77 KIPS)
** Heartbeat:  95% -- { 19000009 } -- 100.00 KIPS (96.94 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20763385    time:6488557812500       -- 0.96 IPC (0.96 IPC) --  N/A  KIPS (97.09 KIPS)
Scarab finished at Fri Nov  1 18:48:25 2024

