Scarab gitrev: 3541854
Scarab started at Fri Nov  1 19:00:02 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (55.56 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 52.63 KIPS (54.05 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 52.63 KIPS (53.57 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 50.00 KIPS (52.63 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 50.00 KIPS (52.08 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 43.48 KIPS (50.42 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 40.00 KIPS (48.61 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 27.78 KIPS (44.44 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 23.81 KIPS (40.54 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 25.00 KIPS (38.17 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 22.22 KIPS (35.83 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 26.32 KIPS (34.78 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 25.00 KIPS (33.77 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 18.87 KIPS (31.96 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 15.62 KIPS (29.88 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 14.49 KIPS (28.02 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 13.70 KIPS (26.40 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 14.49 KIPS (25.25 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 14.08 KIPS (24.23 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 12.99 KIPS (23.23 KIPS)
** Core 0 Finished:    insts:20000000    cycles:20337096    time:6355342500000       -- 0.98 IPC (0.98 IPC) --  N/A  KIPS (23.23 KIPS)
Scarab finished at Fri Nov  1 19:14:23 2024

