Scarab gitrev: 3541854
Scarab started at Fri Nov  1 19:13:37 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (90.91 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 90.91 KIPS (90.91 KIPS)
** Heartbeat:  15% -- { 3000003 } -- 76.92 KIPS (85.71 KIPS)
** Heartbeat:  20% -- { 4000007 } -- 90.91 KIPS (86.96 KIPS)
** Heartbeat:  25% -- { 5000008 } -- 41.67 KIPS (71.43 KIPS)
** Heartbeat:  30% -- { 6000008 } -- 34.48 KIPS (60.61 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 33.33 KIPS (54.26 KIPS)
** Heartbeat:  40% -- { 8000013 } -- 47.62 KIPS (53.33 KIPS)
** Heartbeat:  45% -- { 9000017 } -- 37.04 KIPS (50.85 KIPS)
** Heartbeat:  50% -- { 10000018 } -- 37.04 KIPS (49.02 KIPS)
** Heartbeat:  55% -- { 11000018 } -- 29.41 KIPS (46.22 KIPS)
** Heartbeat:  60% -- { 12000021 } -- 45.45 KIPS (46.15 KIPS)
** Heartbeat:  65% -- { 13000021 } -- 37.04 KIPS (45.30 KIPS)
** Heartbeat:  70% -- { 14000021 } -- 34.48 KIPS (44.30 KIPS)
** Heartbeat:  75% -- { 15000023 } -- 40.00 KIPS (43.99 KIPS)
** Heartbeat:  80% -- { 16000026 } -- 33.33 KIPS (43.13 KIPS)
** Heartbeat:  85% -- { 17000026 } -- 90.91 KIPS (44.50 KIPS)
** Heartbeat:  90% -- { 18000026 } -- 90.91 KIPS (45.80 KIPS)
** Heartbeat:  95% -- { 19000026 } -- 90.91 KIPS (47.03 KIPS)
** Core 0 Finished:    insts:20000000    cycles:12115296    time:3786030000000       -- 1.65 IPC (1.65 IPC) --  N/A  KIPS (48.08 KIPS)
Scarab finished at Fri Nov  1 19:20:33 2024

