Scarab gitrev: 3541854
Scarab started at Fri Nov  1 19:36:14 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000004 } -- 0.00 KIPS (83.33 KIPS)
** Heartbeat:  10% -- { 2000007 } -- 90.91 KIPS (86.96 KIPS)
** Heartbeat:  15% -- { 3000010 } -- 111.11 KIPS (93.75 KIPS)
** Heartbeat:  20% -- { 4000011 } -- 142.86 KIPS (102.56 KIPS)
** Heartbeat:  25% -- { 5000011 } -- 83.33 KIPS (98.04 KIPS)
** Heartbeat:  30% -- { 6000011 } -- 90.91 KIPS (96.77 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 100.00 KIPS (97.22 KIPS)
** Heartbeat:  40% -- { 8000014 } -- 125.00 KIPS (100.00 KIPS)
** Heartbeat:  45% -- { 9000015 } -- 142.86 KIPS (103.45 KIPS)
** Heartbeat:  50% -- { 10000015 } -- 100.00 KIPS (103.09 KIPS)
** Heartbeat:  55% -- { 11000020 } -- 76.92 KIPS (100.00 KIPS)
** Heartbeat:  60% -- { 12000022 } -- 111.11 KIPS (100.84 KIPS)
** Heartbeat:  65% -- { 13000022 } -- 166.67 KIPS (104.00 KIPS)
** Heartbeat:  70% -- { 14000024 } -- 333.33 KIPS (109.38 KIPS)
** Heartbeat:  75% -- { 15000029 } -- 200.00 KIPS (112.78 KIPS)
** Heartbeat:  80% -- { 16000031 } -- 111.11 KIPS (112.68 KIPS)
** Heartbeat:  85% -- { 17000031 } -- 200.00 KIPS (115.65 KIPS)
** Heartbeat:  90% -- { 18000032 } -- 200.00 KIPS (118.42 KIPS)
** Heartbeat:  95% -- { 19000032 } -- 250.00 KIPS (121.80 KIPS)
** Core 0 Finished:    insts:20000000    cycles:14065743    time:4395544687500       -- 1.42 IPC (1.42 IPC) --  N/A  KIPS (125.00 KIPS)
Scarab finished at Fri Nov  1 19:38:55 2024

